KEGGgene	Module	Organism
reh:H16_A2385	md:reh_M00088	Cupriavidus
reh:H16_A0186	md:reh_M00088	Cupriavidus
reh:H16_B2494	md:reh_M00088	Cupriavidus
reh:H16_B0615	md:reh_M00088	Cupriavidus
reh:H16_A1334	md:reh_M00088	Cupriavidus
reh:H16_A1814	md:reh_M00088	Cupriavidus
reh:H16_A0519	md:reh_M00089	Cupriavidus
reh:H16_A2911	md:reh_M00089	Cupriavidus
reh:H16_A2088	md:reh_M00093	Cupriavidus
reh:H16_A2050	md:reh_M00093	Cupriavidus
reh:H16_B1122	md:reh_M00093	Cupriavidus
reh:H16_A1039	md:reh_M00093	Cupriavidus
reh:H16_A1038	md:reh_M00093	Cupriavidus
reh:H16_A1297	md:reh_M00095	Cupriavidus
reh:H16_A1438	md:reh_M00095	Cupriavidus
reh:H16_A1445	md:reh_M00095	Cupriavidus
reh:H16_A1528	md:reh_M00095	Cupriavidus
reh:H16_A2148	md:reh_M00095	Cupriavidus
reh:H16_B1369	md:reh_M00095	Cupriavidus
reh:H16_A1887	md:reh_M00095	Cupriavidus
reh:H16_A0867	md:reh_M00095	Cupriavidus
reh:H16_A0868	md:reh_M00095	Cupriavidus
reh:H16_A0872	md:reh_M00095	Cupriavidus
reh:H16_A1713	md:reh_M00095	Cupriavidus
reh:H16_A1720	md:reh_M00095	Cupriavidus
reh:H16_A0170	md:reh_M00095	Cupriavidus
reh:H16_B0662	md:reh_M00095	Cupriavidus
reh:H16_B0668	md:reh_M00095	Cupriavidus
reh:H16_B0759	md:reh_M00095	Cupriavidus
reh:H16_B0406	md:reh_M00095	Cupriavidus
reh:H16_B0381	md:reh_M00095	Cupriavidus
reh:H16_B0380	md:reh_M00095	Cupriavidus
reh:H16_B1771	md:reh_M00095	Cupriavidus
reh:H16_A2732	md:reh_M00096	Cupriavidus
reh:H16_A2049	md:reh_M00096	Cupriavidus
reh:H16_A1456	md:reh_M00096	Cupriavidus
reh:H16_A0374	md:reh_M00096	Cupriavidus
reh:H16_A1457	md:reh_M00096	Cupriavidus
reh:H16_A2364	md:reh_M00096	Cupriavidus
reh:H16_B2169	md:reh_M00096	Cupriavidus
reh:H16_A3031	md:reh_M00096	Cupriavidus
reh:H16_A1466	md:reh_M00097	Cupriavidus
reh:H16_A1322	md:reh_M00098	Cupriavidus
reh:H16_A2145	md:reh_M00104	Cupriavidus
reh:H16_B1749	md:reh_M00104	Cupriavidus
reh:H16_A0534	md:reh_M00104	Cupriavidus
reh:H16_B0390	md:reh_M00104	Cupriavidus
reh:H16_A3036	md:reh_M00115	Cupriavidus
reh:H16_B0736	md:reh_M00115	Cupriavidus
reh:H16_A3038	md:reh_M00115	Cupriavidus
reh:H16_A3037	md:reh_M00115	Cupriavidus
reh:H16_B0560	md:reh_M00115	Cupriavidus
reh:H16_A0913	md:reh_M00115	Cupriavidus
reh:H16_A0749	md:reh_M00115	Cupriavidus
reh:H16_A0445	md:reh_M00116	Cupriavidus
reh:H16_A3165	md:reh_M00117	Cupriavidus
reh:H16_A3107	md:reh_M00117	Cupriavidus
reh:H16_A2859	md:reh_M00117	Cupriavidus
reh:H16_A3344	md:reh_M00117	Cupriavidus
reh:H16_A0787	md:reh_M00117	Cupriavidus
reh:H16_A0504	md:reh_M00117	Cupriavidus
reh:H16_A0445	md:reh_M00117	Cupriavidus
reh:H16_A0787	md:reh_M00117	Cupriavidus
reh:H16_A0322	md:reh_M00118	Cupriavidus
reh:H16_A0323	md:reh_M00118	Cupriavidus
reh:H16_A0561	md:reh_M00119	Cupriavidus
reh:H16_A3084	md:reh_M00119	Cupriavidus
reh:H16_A1715	md:reh_M00119	Cupriavidus
reh:H16_B1769	md:reh_M00119	Cupriavidus
reh:H16_B1719	md:reh_M00119	Cupriavidus
reh:H16_A3129	md:reh_M00119	Cupriavidus
reh:H16_A2959	md:reh_M00119	Cupriavidus
reh:H16_A0136	md:reh_M00120	Cupriavidus
reh:H16_A3048	md:reh_M00120	Cupriavidus
reh:H16_A0367	md:reh_M00120	Cupriavidus
reh:H16_A3258	md:reh_M00120	Cupriavidus
reh:H16_A2403	md:reh_M00121	Cupriavidus
reh:H16_A3339	md:reh_M00121	Cupriavidus
reh:H16_A0734	md:reh_M00121	Cupriavidus
reh:H16_A3453	md:reh_M00121	Cupriavidus
reh:H16_A2920	md:reh_M00121	Cupriavidus
reh:H16_A2919	md:reh_M00121	Cupriavidus
reh:H16_A3633	md:reh_M00121	Cupriavidus
reh:H16_A0914	md:reh_M00121	Cupriavidus
reh:H16_A3615	md:reh_M00121	Cupriavidus
reh:H16_B2453	md:reh_M00121	Cupriavidus
reh:H16_A3135	md:reh_M00121	Cupriavidus
reh:H16_A1134	md:reh_M00121	Cupriavidus
reh:H16_A3090	md:reh_M00122	Cupriavidus
reh:H16_A2969	md:reh_M00122	Cupriavidus
reh:H16_A2961	md:reh_M00122	Cupriavidus
reh:H16_A2964	md:reh_M00122	Cupriavidus
reh:H16_A2963	md:reh_M00122	Cupriavidus
reh:H16_A2713	md:reh_M00122	Cupriavidus
reh:H16_A2962	md:reh_M00122	Cupriavidus
reh:H16_A2968	md:reh_M00122	Cupriavidus
reh:H16_A2966	md:reh_M00122	Cupriavidus
reh:H16_A2967	md:reh_M00122	Cupriavidus
reh:H16_A0181	md:reh_M00123	Cupriavidus
reh:H16_A0180	md:reh_M00123	Cupriavidus
reh:H16_A0182	md:reh_M00123	Cupriavidus
reh:H16_A0183	md:reh_M00123	Cupriavidus
reh:H16_A0791	md:reh_M00124	Cupriavidus
reh:H16_A0513	md:reh_M00124	Cupriavidus
reh:H16_B0216	md:reh_M00124	Cupriavidus
reh:H16_A2552	md:reh_M00124	Cupriavidus
reh:H16_A2802	md:reh_M00124	Cupriavidus
reh:H16_B1576	md:reh_M00125	Cupriavidus
reh:H16_A2854	md:reh_M00125	Cupriavidus
reh:H16_B0632	md:reh_M00125	Cupriavidus
reh:H16_A2848	md:reh_M00125	Cupriavidus
reh:H16_B1223	md:reh_M00125	Cupriavidus
reh:H16_A2854	md:reh_M00125	Cupriavidus
reh:H16_B0632	md:reh_M00125	Cupriavidus
reh:H16_A2855	md:reh_M00125	Cupriavidus
reh:H16_A2849	md:reh_M00125	Cupriavidus
reh:H16_A3045	md:reh_M00125	Cupriavidus
reh:H16_B1967	md:reh_M00126	Cupriavidus
reh:H16_A2731	md:reh_M00126	Cupriavidus
reh:H16_A2182	md:reh_M00126	Cupriavidus
reh:H16_A2183	md:reh_M00126	Cupriavidus
reh:H16_B0842	md:reh_M00126	Cupriavidus
reh:H16_A0455	md:reh_M00126	Cupriavidus
reh:H16_A0259	md:reh_M00126	Cupriavidus
reh:H16_A3082	md:reh_M00126	Cupriavidus
reh:H16_A2446	md:reh_M00126	Cupriavidus
reh:H16_A0259	md:reh_M00126	Cupriavidus
reh:H16_A2610	md:reh_M00126	Cupriavidus
reh:H16_A2704	md:reh_M00126	Cupriavidus
reh:H16_A0237	md:reh_M00127	Cupriavidus
reh:H16_A0238	md:reh_M00127	Cupriavidus
reh:H16_A0235	md:reh_M00127	Cupriavidus
reh:H16_A0243	md:reh_M00127	Cupriavidus
reh:H16_A0239	md:reh_M00127	Cupriavidus
reh:H16_A3154	md:reh_M00127	Cupriavidus
reh:H16_A3283	md:reh_M00128	Cupriavidus
reh:H16_A2752	md:reh_M00129	Cupriavidus
reh:H16_A0802	md:reh_M00129	Cupriavidus
reh:H16_A3012	md:reh_M00129	Cupriavidus
reh:H16_B1441	md:reh_M00129	Cupriavidus
reh:H16_B0345	md:reh_M00129	Cupriavidus
reh:H16_A1214	md:reh_M00131	Cupriavidus
reh:H16_A2930	md:reh_M00133	Cupriavidus
reh:H16_A2204	md:reh_M00133	Cupriavidus
reh:H16_A2643	md:reh_M00133	Cupriavidus
reh:H16_A2647	md:reh_M00133	Cupriavidus
reh:H16_A1603	md:reh_M00133	Cupriavidus
reh:H16_A0831	md:reh_M00135	Cupriavidus
reh:H16_A0845	md:reh_M00135	Cupriavidus
reh:H16_B1534	md:reh_M00135	Cupriavidus
reh:H16_A0745	md:reh_M00135	Cupriavidus
reh:H16_B0737	md:reh_M00135	Cupriavidus
reh:H16_B0421	md:reh_M00135	Cupriavidus
reh:H16_B2444	md:reh_M00135	Cupriavidus
reh:H16_B1735	md:reh_M00135	Cupriavidus
reh:H16_B1751	md:reh_M00135	Cupriavidus
reh:H16_B1835	md:reh_M00135	Cupriavidus
reh:H16_A3345	md:reh_M00135	Cupriavidus
reh:H16_A1919	md:reh_M00135	Cupriavidus
reh:H16_A2834	md:reh_M00140	Cupriavidus
reh:H16_A1370	md:reh_M00140	Cupriavidus
reh:H16_A1050	md:reh_M00144	Cupriavidus
reh:H16_A1051	md:reh_M00144	Cupriavidus
reh:H16_A1052	md:reh_M00144	Cupriavidus
reh:H16_A1053	md:reh_M00144	Cupriavidus
reh:H16_A1051	md:reh_M00144	Cupriavidus
reh:H16_A1054	md:reh_M00144	Cupriavidus
reh:H16_A1055	md:reh_M00144	Cupriavidus
reh:H16_A1056	md:reh_M00144	Cupriavidus
reh:H16_A1057	md:reh_M00144	Cupriavidus
reh:H16_A1058	md:reh_M00144	Cupriavidus
reh:H16_A1059	md:reh_M00144	Cupriavidus
reh:H16_A1060	md:reh_M00144	Cupriavidus
reh:H16_A1061	md:reh_M00144	Cupriavidus
reh:H16_A1062	md:reh_M00144	Cupriavidus
reh:H16_A1063	md:reh_M00144	Cupriavidus
reh:H16_A2632	md:reh_M00149	Cupriavidus
reh:H16_A2631	md:reh_M00149	Cupriavidus
reh:H16_A2630	md:reh_M00149	Cupriavidus
reh:H16_A2629	md:reh_M00149	Cupriavidus
reh:H16_A3397	md:reh_M00151	Cupriavidus
reh:H16_A3396	md:reh_M00151	Cupriavidus
reh:H16_A3398	md:reh_M00151	Cupriavidus
reh:H16_A3398	md:reh_M00152	Cupriavidus
reh:H16_A3397	md:reh_M00152	Cupriavidus
reh:H16_A3396	md:reh_M00152	Cupriavidus
reh:H16_B1461	md:reh_M00153	Cupriavidus
reh:H16_B1177	md:reh_M00153	Cupriavidus
reh:H16_B1462	md:reh_M00153	Cupriavidus
reh:H16_B1176	md:reh_M00153	Cupriavidus
reh:H16_A0352	md:reh_M00154	Cupriavidus
reh:H16_A0345	md:reh_M00154	Cupriavidus
reh:H16_A0351	md:reh_M00154	Cupriavidus
reh:H16_B2062	md:reh_M00155	Cupriavidus
reh:H16_A0342	md:reh_M00155	Cupriavidus
reh:H16_A0343	md:reh_M00155	Cupriavidus
reh:H16_B2061	md:reh_M00155	Cupriavidus
reh:H16_A0347	md:reh_M00155	Cupriavidus
reh:H16_B2059	md:reh_M00155	Cupriavidus
reh:H16_B2060	md:reh_M00155	Cupriavidus
reh:H16_B2058	md:reh_M00155	Cupriavidus
reh:H16_A2319	md:reh_M00156	Cupriavidus
reh:H16_A2318	md:reh_M00156	Cupriavidus
reh:H16_A2317	md:reh_M00156	Cupriavidus
reh:H16_A2316	md:reh_M00156	Cupriavidus
reh:H16_A3639	md:reh_M00157	Cupriavidus
reh:H16_A3637	md:reh_M00157	Cupriavidus
reh:H16_A3640	md:reh_M00157	Cupriavidus
reh:H16_A3636	md:reh_M00157	Cupriavidus
reh:H16_A3638	md:reh_M00157	Cupriavidus
reh:H16_A3643	md:reh_M00157	Cupriavidus
reh:H16_A3641	md:reh_M00157	Cupriavidus
reh:H16_A3642	md:reh_M00157	Cupriavidus
reh:H16_B1389	md:reh_M00165	Cupriavidus
reh:PHG421	md:reh_M00165	Cupriavidus
reh:H16_B1395	md:reh_M00165	Cupriavidus
reh:PHG427	md:reh_M00165	Cupriavidus
reh:H16_B1394	md:reh_M00165	Cupriavidus
reh:PHG426	md:reh_M00165	Cupriavidus
reh:H16_A0566	md:reh_M00165	Cupriavidus
reh:H16_B1385	md:reh_M00165	Cupriavidus
reh:PHG417	md:reh_M00165	Cupriavidus
reh:H16_A3146	md:reh_M00165	Cupriavidus
reh:H16_B1386	md:reh_M00165	Cupriavidus
reh:PHG418	md:reh_M00165	Cupriavidus
reh:H16_B0278	md:reh_M00165	Cupriavidus
reh:H16_A0568	md:reh_M00165	Cupriavidus
reh:H16_B1384	md:reh_M00165	Cupriavidus
reh:PHG416	md:reh_M00165	Cupriavidus
reh:H16_A0999	md:reh_M00165	Cupriavidus
reh:PHG422	md:reh_M00165	Cupriavidus
reh:H16_B1390	md:reh_M00165	Cupriavidus
reh:H16_A3147	md:reh_M00165	Cupriavidus
reh:H16_B1388	md:reh_M00165	Cupriavidus
reh:PHG420	md:reh_M00165	Cupriavidus
reh:H16_B0278	md:reh_M00165	Cupriavidus
reh:H16_A0568	md:reh_M00165	Cupriavidus
reh:H16_B1384	md:reh_M00165	Cupriavidus
reh:PHG416	md:reh_M00165	Cupriavidus
reh:PHG422	md:reh_M00165	Cupriavidus
reh:H16_B1390	md:reh_M00165	Cupriavidus
reh:H16_A3147	md:reh_M00165	Cupriavidus
reh:H16_B1388	md:reh_M00165	Cupriavidus
reh:PHG420	md:reh_M00165	Cupriavidus
reh:H16_A2345	md:reh_M00165	Cupriavidus
reh:H16_B1389	md:reh_M00166	Cupriavidus
reh:PHG421	md:reh_M00166	Cupriavidus
reh:H16_B1395	md:reh_M00166	Cupriavidus
reh:PHG427	md:reh_M00166	Cupriavidus
reh:H16_B1394	md:reh_M00166	Cupriavidus
reh:PHG426	md:reh_M00166	Cupriavidus
reh:H16_A0566	md:reh_M00166	Cupriavidus
reh:H16_B1385	md:reh_M00166	Cupriavidus
reh:PHG417	md:reh_M00166	Cupriavidus
reh:H16_A3146	md:reh_M00166	Cupriavidus
reh:H16_B1386	md:reh_M00166	Cupriavidus
reh:PHG418	md:reh_M00166	Cupriavidus
reh:H16_B0278	md:reh_M00167	Cupriavidus
reh:H16_A0568	md:reh_M00167	Cupriavidus
reh:H16_B1384	md:reh_M00167	Cupriavidus
reh:PHG416	md:reh_M00167	Cupriavidus
reh:H16_A0999	md:reh_M00167	Cupriavidus
reh:PHG422	md:reh_M00167	Cupriavidus
reh:H16_B1390	md:reh_M00167	Cupriavidus
reh:H16_A3147	md:reh_M00167	Cupriavidus
reh:H16_B1388	md:reh_M00167	Cupriavidus
reh:PHG420	md:reh_M00167	Cupriavidus
reh:H16_B0278	md:reh_M00167	Cupriavidus
reh:H16_A0568	md:reh_M00167	Cupriavidus
reh:H16_B1384	md:reh_M00167	Cupriavidus
reh:PHG416	md:reh_M00167	Cupriavidus
reh:PHG422	md:reh_M00167	Cupriavidus
reh:H16_B1390	md:reh_M00167	Cupriavidus
reh:H16_A3147	md:reh_M00167	Cupriavidus
reh:H16_B1388	md:reh_M00167	Cupriavidus
reh:PHG420	md:reh_M00167	Cupriavidus
reh:H16_A2345	md:reh_M00167	Cupriavidus
reh:H16_A2921	md:reh_M00168	Cupriavidus
reh:H16_A2634	md:reh_M00168	Cupriavidus
reh:H16_A1002	md:reh_M00169	Cupriavidus
reh:H16_A3153	md:reh_M00169	Cupriavidus
reh:H16_A2921	md:reh_M00170	Cupriavidus
reh:H16_A2921	md:reh_M00171	Cupriavidus
reh:H16_A2921	md:reh_M00172	Cupriavidus
reh:H16_A1002	md:reh_M00172	Cupriavidus
reh:H16_A3153	md:reh_M00172	Cupriavidus
reh:H16_A2038	md:reh_M00173	Cupriavidus
reh:H16_A2921	md:reh_M00173	Cupriavidus
reh:H16_A1251	md:reh_M00173	Cupriavidus
reh:H16_A2634	md:reh_M00173	Cupriavidus
reh:H16_A2528	md:reh_M00173	Cupriavidus
reh:H16_B0103	md:reh_M00173	Cupriavidus
reh:H16_A2630	md:reh_M00173	Cupriavidus
reh:H16_A2629	md:reh_M00173	Cupriavidus
reh:H16_A2632	md:reh_M00173	Cupriavidus
reh:H16_A2631	md:reh_M00173	Cupriavidus
reh:H16_A0548	md:reh_M00173	Cupriavidus
reh:H16_A0547	md:reh_M00173	Cupriavidus
reh:H16_A3056	md:reh_M00173	Cupriavidus
reh:H16_B1931	md:reh_M00173	Cupriavidus
reh:H16_A2638	md:reh_M00173	Cupriavidus
reh:H16_B0568	md:reh_M00173	Cupriavidus
reh:H16_B0626	md:reh_M00176	Cupriavidus
reh:H16_A2996	md:reh_M00176	Cupriavidus
reh:H16_B0627	md:reh_M00176	Cupriavidus
reh:H16_A2995	md:reh_M00176	Cupriavidus
reh:H16_A2996	md:reh_M00176	Cupriavidus
reh:H16_B0627	md:reh_M00176	Cupriavidus
reh:H16_A2997	md:reh_M00176	Cupriavidus
reh:H16_B2500	md:reh_M00176	Cupriavidus
reh:H16_A1639	md:reh_M00176	Cupriavidus
reh:H16_A2999	md:reh_M00176	Cupriavidus
reh:H16_A1374	md:reh_M00307	Cupriavidus
reh:H16_B1300	md:reh_M00307	Cupriavidus
reh:H16_A1753	md:reh_M00307	Cupriavidus
reh:H16_A1375	md:reh_M00307	Cupriavidus
reh:H16_B0146	md:reh_M00307	Cupriavidus
reh:H16_A1377	md:reh_M00307	Cupriavidus
reh:H16_A2323	md:reh_M00307	Cupriavidus
reh:H16_B1098	md:reh_M00307	Cupriavidus
reh:H16_B1212	md:reh_M00308	Cupriavidus
reh:H16_B1812	md:reh_M00308	Cupriavidus
reh:H16_B1213	md:reh_M00308	Cupriavidus
reh:H16_A3146	md:reh_M00308	Cupriavidus
reh:H16_B1386	md:reh_M00308	Cupriavidus
reh:PHG418	md:reh_M00308	Cupriavidus
reh:H16_A0566	md:reh_M00308	Cupriavidus
reh:H16_B1385	md:reh_M00308	Cupriavidus
reh:PHG417	md:reh_M00308	Cupriavidus
reh:H16_A0568	md:reh_M00344	Cupriavidus
reh:H16_B1384	md:reh_M00344	Cupriavidus
reh:PHG416	md:reh_M00344	Cupriavidus
reh:H16_A0999	md:reh_M00344	Cupriavidus
reh:H16_A0568	md:reh_M00345	Cupriavidus
reh:H16_B1384	md:reh_M00345	Cupriavidus
reh:PHG416	md:reh_M00345	Cupriavidus
reh:H16_A2834	md:reh_M00346	Cupriavidus
reh:H16_B1170	md:reh_M00346	Cupriavidus
reh:H16_B0611	md:reh_M00346	Cupriavidus
reh:H16_A3601	md:reh_M00346	Cupriavidus
reh:H16_A2132	md:reh_M00346	Cupriavidus
reh:H16_A0478	md:reh_M00346	Cupriavidus
reh:H16_A1188	md:reh_M00346	Cupriavidus
reh:H16_A2921	md:reh_M00346	Cupriavidus
reh:H16_A2634	md:reh_M00346	Cupriavidus
reh:H16_B1630	md:reh_M00357	Cupriavidus
reh:H16_A0670	md:reh_M00357	Cupriavidus
reh:H16_B1631	md:reh_M00357	Cupriavidus
reh:H16_B1871	md:reh_M00357	Cupriavidus
reh:H16_A2525	md:reh_M00357	Cupriavidus
reh:H16_A1616	md:reh_M00357	Cupriavidus
reh:H16_B0834	md:reh_M00357	Cupriavidus
reh:H16_B1102	md:reh_M00357	Cupriavidus
reh:H16_A1197	md:reh_M00357	Cupriavidus
reh:H16_A2733	md:reh_M00364	Cupriavidus
reh:H16_A1975	md:reh_M00368	Cupriavidus
reh:H16_A0230	md:reh_M00368	Cupriavidus
reh:H16_A1297	md:reh_M00373	Cupriavidus
reh:H16_A1438	md:reh_M00373	Cupriavidus
reh:H16_A1445	md:reh_M00373	Cupriavidus
reh:H16_A1528	md:reh_M00373	Cupriavidus
reh:H16_A2148	md:reh_M00373	Cupriavidus
reh:H16_B1369	md:reh_M00373	Cupriavidus
reh:H16_A1887	md:reh_M00373	Cupriavidus
reh:H16_A0867	md:reh_M00373	Cupriavidus
reh:H16_A0868	md:reh_M00373	Cupriavidus
reh:H16_A0872	md:reh_M00373	Cupriavidus
reh:H16_A1713	md:reh_M00373	Cupriavidus
reh:H16_A1720	md:reh_M00373	Cupriavidus
reh:H16_A0170	md:reh_M00373	Cupriavidus
reh:H16_B0662	md:reh_M00373	Cupriavidus
reh:H16_B0668	md:reh_M00373	Cupriavidus
reh:H16_B0759	md:reh_M00373	Cupriavidus
reh:H16_B0406	md:reh_M00373	Cupriavidus
reh:H16_B0381	md:reh_M00373	Cupriavidus
reh:H16_B0380	md:reh_M00373	Cupriavidus
reh:H16_B1771	md:reh_M00373	Cupriavidus
reh:H16_A1439	md:reh_M00373	Cupriavidus
reh:H16_A2171	md:reh_M00373	Cupriavidus
reh:H16_A2002	md:reh_M00373	Cupriavidus
reh:H16_B0354	md:reh_M00373	Cupriavidus
reh:H16_A1949	md:reh_M00373	Cupriavidus
reh:H16_A2038	md:reh_M00374	Cupriavidus
reh:H16_A2921	md:reh_M00374	Cupriavidus
reh:H16_A2634	md:reh_M00374	Cupriavidus
reh:H16_A2630	md:reh_M00374	Cupriavidus
reh:H16_A2629	md:reh_M00374	Cupriavidus
reh:H16_A2632	md:reh_M00374	Cupriavidus
reh:H16_A0548	md:reh_M00374	Cupriavidus
reh:H16_A0547	md:reh_M00374	Cupriavidus
reh:H16_A1297	md:reh_M00374	Cupriavidus
reh:H16_A1438	md:reh_M00374	Cupriavidus
reh:H16_A1445	md:reh_M00374	Cupriavidus
reh:H16_A1528	md:reh_M00374	Cupriavidus
reh:H16_A2148	md:reh_M00374	Cupriavidus
reh:H16_B1369	md:reh_M00374	Cupriavidus
reh:H16_A1887	md:reh_M00374	Cupriavidus
reh:H16_A0867	md:reh_M00374	Cupriavidus
reh:H16_A0868	md:reh_M00374	Cupriavidus
reh:H16_A0872	md:reh_M00374	Cupriavidus
reh:H16_A1713	md:reh_M00374	Cupriavidus
reh:H16_A1720	md:reh_M00374	Cupriavidus
reh:H16_A0170	md:reh_M00374	Cupriavidus
reh:H16_B0662	md:reh_M00374	Cupriavidus
reh:H16_B0668	md:reh_M00374	Cupriavidus
reh:H16_B0759	md:reh_M00374	Cupriavidus
reh:H16_B0406	md:reh_M00374	Cupriavidus
reh:H16_B0381	md:reh_M00374	Cupriavidus
reh:H16_B0380	md:reh_M00374	Cupriavidus
reh:H16_B1771	md:reh_M00374	Cupriavidus
reh:H16_B1842	md:reh_M00375	Cupriavidus
reh:H16_B1841	md:reh_M00375	Cupriavidus
reh:H16_A1297	md:reh_M00375	Cupriavidus
reh:H16_A1438	md:reh_M00375	Cupriavidus
reh:H16_A1445	md:reh_M00375	Cupriavidus
reh:H16_A1528	md:reh_M00375	Cupriavidus
reh:H16_A2148	md:reh_M00375	Cupriavidus
reh:H16_B1369	md:reh_M00375	Cupriavidus
reh:H16_A1887	md:reh_M00375	Cupriavidus
reh:H16_A0867	md:reh_M00375	Cupriavidus
reh:H16_A0868	md:reh_M00375	Cupriavidus
reh:H16_A0872	md:reh_M00375	Cupriavidus
reh:H16_A1713	md:reh_M00375	Cupriavidus
reh:H16_A1720	md:reh_M00375	Cupriavidus
reh:H16_A0170	md:reh_M00375	Cupriavidus
reh:H16_B0662	md:reh_M00375	Cupriavidus
reh:H16_B0668	md:reh_M00375	Cupriavidus
reh:H16_B0759	md:reh_M00375	Cupriavidus
reh:H16_B0406	md:reh_M00375	Cupriavidus
reh:H16_B0381	md:reh_M00375	Cupriavidus
reh:H16_B0380	md:reh_M00375	Cupriavidus
reh:H16_B1771	md:reh_M00375	Cupriavidus
reh:H16_A3171	md:reh_M00376	Cupriavidus
reh:H16_A3172	md:reh_M00376	Cupriavidus
reh:H16_A1223	md:reh_M00376	Cupriavidus
reh:H16_A2611	md:reh_M00376	Cupriavidus
reh:H16_A1949	md:reh_M00376	Cupriavidus
reh:H16_B1842	md:reh_M00376	Cupriavidus
reh:H16_B1841	md:reh_M00376	Cupriavidus
reh:H16_A2630	md:reh_M00376	Cupriavidus
reh:H16_A2629	md:reh_M00376	Cupriavidus
reh:H16_A2632	md:reh_M00376	Cupriavidus
reh:H16_B0103	md:reh_M00376	Cupriavidus
reh:H16_B0354	md:reh_M00376	Cupriavidus
reh:H16_A2424	md:reh_M00376	Cupriavidus
reh:H16_B0679	md:reh_M00376	Cupriavidus
reh:H16_A1370	md:reh_M00377	Cupriavidus
reh:H16_A0246	md:reh_M00377	Cupriavidus
reh:H16_A1643	md:reh_M00417	Cupriavidus
reh:H16_B1025	md:reh_M00417	Cupriavidus
reh:H16_A1071	md:reh_M00417	Cupriavidus
reh:H16_A1072	md:reh_M00417	Cupriavidus
reh:H16_A1642	md:reh_M00417	Cupriavidus
reh:H16_B1026	md:reh_M00417	Cupriavidus
reh:H16_A1073	md:reh_M00417	Cupriavidus
reh:H16_A1641	md:reh_M00417	Cupriavidus
reh:H16_B1027	md:reh_M00417	Cupriavidus
reh:H16_A1074	md:reh_M00417	Cupriavidus
reh:H16_A1640	md:reh_M00417	Cupriavidus
reh:H16_B1028	md:reh_M00417	Cupriavidus
reh:H16_B1905	md:reh_M00418	Cupriavidus
reh:H16_A1041	md:reh_M00432	Cupriavidus
reh:H16_B0081	md:reh_M00432	Cupriavidus
reh:H16_B2275	md:reh_M00432	Cupriavidus
reh:H16_B0052	md:reh_M00432	Cupriavidus
reh:H16_A2621	md:reh_M00432	Cupriavidus
reh:H16_A1236	md:reh_M00432	Cupriavidus
reh:H16_A1549	md:reh_M00432	Cupriavidus
reh:H16_B2276	md:reh_M00432	Cupriavidus
reh:H16_B0051	md:reh_M00432	Cupriavidus
reh:H16_A2620	md:reh_M00432	Cupriavidus
reh:H16_A1237	md:reh_M00432	Cupriavidus
reh:H16_A1550	md:reh_M00432	Cupriavidus
reh:H16_A2619	md:reh_M00432	Cupriavidus
reh:H16_A1225	md:reh_M00525	Cupriavidus
reh:H16_A2618	md:reh_M00525	Cupriavidus
reh:H16_A1204	md:reh_M00525	Cupriavidus
reh:H16_B0891	md:reh_M00525	Cupriavidus
reh:H16_B1831	md:reh_M00525	Cupriavidus
reh:H16_A3141	md:reh_M00525	Cupriavidus
reh:H16_A3348	md:reh_M00525	Cupriavidus
reh:H16_A0227	md:reh_M00525	Cupriavidus
reh:H16_A3443	md:reh_M00525	Cupriavidus
reh:PHG121	md:reh_M00525	Cupriavidus
reh:H16_A1225	md:reh_M00526	Cupriavidus
reh:H16_A2618	md:reh_M00526	Cupriavidus
reh:H16_A1204	md:reh_M00526	Cupriavidus
reh:H16_B0891	md:reh_M00526	Cupriavidus
reh:H16_B1831	md:reh_M00526	Cupriavidus
reh:H16_A3141	md:reh_M00526	Cupriavidus
reh:H16_A3348	md:reh_M00526	Cupriavidus
reh:H16_A3443	md:reh_M00526	Cupriavidus
reh:PHG121	md:reh_M00526	Cupriavidus
reh:H16_A1225	md:reh_M00527	Cupriavidus
reh:H16_A2618	md:reh_M00527	Cupriavidus
reh:H16_A1204	md:reh_M00527	Cupriavidus
reh:H16_B0891	md:reh_M00527	Cupriavidus
reh:H16_B1831	md:reh_M00527	Cupriavidus
reh:H16_A3141	md:reh_M00527	Cupriavidus
reh:H16_A3348	md:reh_M00527	Cupriavidus
reh:H16_A0227	md:reh_M00527	Cupriavidus
reh:H16_A3443	md:reh_M00527	Cupriavidus
reh:PHG121	md:reh_M00527	Cupriavidus
reh:H16_B2265	md:reh_M00529	Cupriavidus
reh:PHG270	md:reh_M00529	Cupriavidus
reh:H16_B2266	md:reh_M00529	Cupriavidus
reh:PHG271	md:reh_M00529	Cupriavidus
reh:H16_B2268	md:reh_M00529	Cupriavidus
reh:PHG273	md:reh_M00529	Cupriavidus
reh:PHG211	md:reh_M00529	Cupriavidus
reh:PHG212	md:reh_M00529	Cupriavidus
reh:H16_B2277	md:reh_M00529	Cupriavidus
reh:H16_B2323	md:reh_M00529	Cupriavidus
reh:PHG244	md:reh_M00529	Cupriavidus
reh:PHG252	md:reh_M00529	Cupriavidus
reh:H16_B2265	md:reh_M00530	Cupriavidus
reh:PHG270	md:reh_M00530	Cupriavidus
reh:H16_B2266	md:reh_M00530	Cupriavidus
reh:PHG271	md:reh_M00530	Cupriavidus
reh:H16_B2268	md:reh_M00530	Cupriavidus
